Part	Value	Device	Package	Description	ASK	ASK_CUSTOMERPN	ASK_PN	CUSTOMERPN	FSK	FSK_PN	FSK_CUSTOMERPN	MIFARE	PASSIVO	MIFARE_PN	MIFARE_CUSTOMERPN	PN1	PSK	PSK_PN	SPECIAL	PSK_CUSTOMERPN
LED-IN	LED	PTHPAD	HOLE																	
LED1	LTL1BEKVJNN	LTL1BEKVJNN	LTL1BEKVJNN		X	LED/RG/3MM	LTL1BEKVJNN		X	LTL1BEKVJNN	LED/RG/3MM	X		LTL1BEKVJNN	LED/RG/3MM		X	LTL1BEKVJNN		LED/RG/3MM
MODE	MODESELECT	PTHPAD	HOLE																	
Q1	DMN3404	DMN3404	SOT23		X	Q/DMN3404/SOT23	DMN3404L-7		X	DMN3404L-7	Q/DMN3404/SOT23						X	DMN3404L-7		Q/DMN3404/SOT23
Q2	MMBT4401	MMBT4401	SOT23		X	Q/MMBT4401/SOT23	MMBT4401LT3G		X	MMBT4401LT3G	Q/MMBT4401/SOT23						X	MMBT4401LT3G		Q/MMBT4401/SOT23
Q3	MMBT4403	MMBT4403	SOT23		X	Q/MMBT4403/SOT23	MMBT4403LT3G		X	MMBT4403LT3G	Q/MMBT4403/SOT23						X	MMBT4403LT3G		Q/MMBT4403/SOT23
Q4	MMBT4401	MMBT4401	SOT23		X	Q/MMBT4401/SOT23	MMBT4401LT3G		X	MMBT4401LT3G	Q/MMBT4401/SOT23	X		MMBT4401LT3G	Q/MMBT4401/SOT23		X	MMBT4401LT3G		Q/MMBT4401/SOT23
Q5	MMBT4401	MMBT4401	SOT23		X	Q/MMBT4401/SOT23	MMBT4401LT3G		X	MMBT4401LT3G	Q/MMBT4401/SOT23	X		MMBT4401LT3G	Q/MMBT4401/SOT23		X	MMBT4401LT3G		Q/MMBT4401/SOT23
Q6	MMBT4401	MMBT4401	SOT23		X	Q/MMBT4401/SOT23	MMBT4401LT3G		X	MMBT4401LT3G	Q/MMBT4401/SOT23	X		MMBT4401LT3G	Q/MMBT4401/SOT23		X	MMBT4401LT3G		Q/MMBT4401/SOT23
Q7	MMBT4401	MMBT4401	SOT23		X	Q/MMBT4401/SOT23	MMBT4401LT3G		X	MMBT4401LT3G	Q/MMBT4401/SOT23	X		MMBT4401LT3G	Q/MMBT4401/SOT23		X	MMBT4401LT3G		Q/MMBT4401/SOT23
QZ1	8MHz	CRYSTALHC49S	HC49/S	CRYSTAL	X	XTAL/8MHZ/PTH	9B-8.000MAAJ-B		X	9B-8.000MAAJ-B	XTAL/8MHZ/PTH	X		9B-8.000MAAJ-B	XTAL/8MHZ/PTH		X	9B-8.000MAAJ-B		XTAL/8MHZ/PTH
QZ2	27.12MHz	CRISTAL	CRISTAL4SMD	Monolithic Crystal Filters								X		7B-27.120MAAJ-T	XTAL/2712MHZ/5x3					
R1	470	R-US_R0402	R0402	RESISTOR, American symbol	X	R/470/5%/04	4-1622826-4		X	4-1622826-4	R/470/5%/04	X	Sim	4-1622826-4	R/470/5%/04		X	4-1622826-4		R/470/5%/04
R2	470	R-US_R0402	R0402	RESISTOR, American symbol	X	R/470/5%/04	4-1622826-4		X	4-1622826-4	R/470/5%/04	X	Sim	4-1622826-4	R/470/5%/04		X	4-1622826-4		R/470/5%/04
R3	12k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/12K/5%/04	1622826-8		X	1622826-8	R/12K/5%/04	X	Sim	1622826-8	R/12K/5%/04		X	1622826-8		R/12K/5%/04
R4	1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/1K/5%/04	RC0402JR-071KL		X	RC0402JR-071KL	R/1K/5%/04		Sim				X	RC0402JR-071KL		R/1K/5%/04
R5	4.7k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/4.7k/5%/04	RC1608J472CS						Sim							
R6	2.2k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/2.2k/5%/04	RMCF0402JT2K20		X	RMCF0402JT2K20	R/2.2k/5%/04		Sim				X	R/2.2k/5%/04		RMCF0402JT2K20
R7	4.7k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/4.7k/5%/04	RC1608J472CS						Sim							
R8	0	R-US_R0402	R0402	RESISTOR, American symbol	X	R/0/0%/04	RC1005J000CS		X	RC1005J000CS	R/0/0%/04		Sim				X	RC1005J000CS		R/0/0%/04
R9	10	R-US_R0603	R0603	RESISTOR, American symbol	X	R/10/5%/06	RC1608J100CS		X	RC1608J100CS	R/10/5%/06		Sim				X	RC1608J100CS		R/10/5%/06
R10	10	R-US_R0603	R0603	RESISTOR, American symbol	X	R/10/5%/06	RC1608J100CS		X	RC1608J100CS	R/10/5%/06		Sim				X	RC1608J100CS		R/10/5%/06
R11	91k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/91k/5%/04	RMCF0402JT91K0			RMCF0402JT91K0			Sim							
R12	13k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/13k/5%/04	RC1005J133CS						Sim							
R13	91k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/91k/5%/04	RMCF0402JT91K0						Sim							
