Part	Value	Device	Package	Description	ASK	ASK_CUSTOMERPN	ASK_PN	CUSTOMERPN	FSK	FSK_PN	FSK_CUSTOMERPN	MIFARE	PASSIVO	MIFARE_PN	MIFARE_CUSTOMERPN	PN1	PSK	PSK_PN	SPECIAL	PSK_CUSTOMERPN
R50	1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/1K/5%/04	RC0402JR-071KL		X	RC0402JR-071KL	R/1K/5%/04	X	Sim	RC0402JR-071KL	R/1K/5%/04		X	RC0402JR-071KL		R/1K/5%/04
R51	1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/1K/5%/04	RC0402JR-071KL		X	RC0402JR-071KL	R/1K/5%/04	X	Sim	RC0402JR-071KL	R/1K/5%/04		X	RC0402JR-071KL		R/1K/5%/04
R52	100	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100/5%/06	RC1005J101CS		X	RC1005J101CS	R/100/5%/06	X	Sim	RC1005J101CS	R/100/5%/06		X	RC1005J101CS		R/100/5%/06
R53	130	R-US_R0402	R0402	RESISTOR, American symbol	X	R/130/5%/04	RC1005J131CS		X	RC1005J131CS	R/130/5%/04	X	Sim	RC1005J131CS	R/130/5%/04		X	RC1005J131CS		R/130/5%/04
R54	120	R-US_R0402	R0402	RESISTOR, American symbol	X	R/120/5%/04	RC1005J121CS		X	RC1005J121CS	R/120/5%/04	X	Sim	RC1005J121CS	R/120/5%/04		X	RC1005J121CS		R/120/5%/04
R55	2.2k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/2.2k/5%/04	RMCF0402JT2K20		X	RMCF0402JT2K20	R/2.2k/5%/04	X	Sim	RMCF0402JT2K20	R/2.2k/5%/04		X	RMCF0402JT2K20		R/2.2k/5%/04
R56	1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/1K/5%/04	RC0402JR-071KL		X	RC0402JR-071KL	R/1K/5%/04	X	Sim	RC0402JR-071KL	R/1K/5%/04		X	RC0402JR-071KL		R/1K/5%/04
R57	100	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100/5%/06	RC1005J101CS		X	RC1005J101CS	R/100/5%/06	X	Sim	RC1005J101CS	R/100/5%/06		X	RC1005J101CS		R/100/5%/06
R58	100k	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100K/5%/06	RC0603JR-07100KL		X	RC0603JR-07100KL	R/100K/5%/06	X	Sim	RC0603JR-07100KL	R/100K/5%/06		X	RC0603JR-07100KL		R/100K/5%/06
R59	100k	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100K/5%/06	RC0603JR-07100KL		X	RC0603JR-07100KL	R/100K/5%/06	X	Sim	RC0603JR-07100KL	R/100K/5%/06		X	RC0603JR-07100KL		R/100K/5%/06
R60	100k	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100K/5%/06	RC0603JR-07100KL		X	RC0603JR-07100KL	R/100K/5%/06	X	Sim	RC0603JR-07100KL	R/100K/5%/06		X	RC0603JR-07100KL		R/100K/5%/06
R61	100k	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100K/5%/06	RC0603JR-07100KL		X	RC0603JR-07100KL	R/100K/5%/06	X	Sim	RC0603JR-07100KL	R/100K/5%/06		X	RC0603JR-07100KL		R/100K/5%/06
R62	2.2k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/2.2k/5%/04	RMCF0402JT2K20		X	RMCF0402JT2K20	R/2.2k/5%/04	X	Sim	RMCF0402JT2K20	R/2.2k/5%/04		X	RMCF0402JT2K20		R/2.2k/5%/04
R63	1k	R-US_R0402	R0402	RESISTOR, American symbol	X	R/1K/5%/04	RC0402JR-071KL		X	RC0402JR-071KL	R/1K/5%/04	X	Sim	RC0402JR-071KL	R/1K/5%/04		X	RC0402JR-071KL		R/1K/5%/04
R64	100	R-US_R0603	R0603	RESISTOR, American symbol	X	R/100/5%/06	RC1005J101CS		X	RC1005J101CS	R/100/5%/06	X	Sim	RC1005J101CS	R/100/5%/06		X	RC1005J101CS		R/100/5%/06
SWD		PINHD-1X5	1X05	PIN HEADER																
U1	LP2985-33DBVR	LP2985-33DBVR	SOT-23-5		X	IC/3V3REG	LP2985-33DBVR		X	LP2985-33DBVR	IC/3V3REG	X		LP2985-33DBVR	IC/3V3REG		X	LP2985-33DBVR		IC/3V3REG
U2	TLV1117-50CDCYR	TLV1117-50CDCYR	SOT223-3L		X	IC/5VREG	TLV1117-50CDCYR		X	TLV1117-50CDCYR	IC/5VREG	X		TLV1117-50CDCYR	IC/5VREG		X	TLV1117-50CDCYR		IC/5VREG
U3	SAMD20E14A-AUT	SAMD20E14A-AUT	TQFP32	ATSAMD20E edit this description	X	IC/SAMD20/TQ32	SAMD20E14A-AUT		X	SAMD20E14A-AUT	IC/SAMD20/TQ32	X		SAMD20E14A-AUT	IC/SAMD20/TQ32		X	SAMD20E14A-AUT		IC/SAMD20/TQ32
U4	MFRC52202HN1	MFRC52202HN1	QFN32	Connect-List generated from MFRC522.DEV Variant '' with split-device-symbol.ulp								X		MFRC52202HN1,151	IC/MFRC52202					
VCC	VCC	PTHPAD	HOLE																	
X1	ANTENA	22-23-2021	22-23-2021	".100"" (2.54mm) Center Header - 2 Pin"																
X2	MIFARE	22-23-2021	22-23-2021	".100"" (2.54mm) Center Header - 2 Pin"																
